classroom,salón de clases
Science,ciencias
Technology,tecnología
gym,gimnasio
art room,sala de arte
computer room,sala de computación
do magic tricks,hacer trucos de magia
do cartwheels,hacer volteretas
step backward,dar un paso atrás
spin around,girar
clap,aplaudir
act,actuar
stamp,pisar fuerte
wave,ondear
juggle,hacer malabares
tail,cola
icy,helado
cold,frío
rainy,lluvioso
warm,cálido
snowy,nevado
fun,divertido
trunk,trompa
tusks,colmillos
sunny,soleado
hairy,peludo
colorful,colorido
boring,aburrido
noisy,ruidoso
exciting,emocionante
tasty,delicioso
relaxing,relajante
thirsty,sediento
disgusting,asqueroso
interesting,interesante
satellite,satélite
astronaut,astronauta
breath,respirar
space station,estación espacial
launch,despegar
rocket,cohete
played,jugó
visited,visitó
worked,trabajó
studied,estudió
lived,viví
cafeteria,cafetería
sports,deportes
music,música
Math,matemática
